,POSITIVE,NEGATIVE
genrewise,1,0
teambased,1,0
carenthusiast,1,0
grinder,1,0
shuffling,3,0
racecars,1,0
winsee,1,0
adrenalinerushing,1,0
checker,1,0
racecar,3,1
hollowcheeked,1,0
tilting,1,0
flashybutsubstantive,1,0
greaseundertheirfingernails,1,0
spinouts,1,0
hunky,3,1
raced,1,0
gt40,1,0
oftensweaty,0,1
muchfetishised,0,1
therevery,1,0
skidmark,1,0
clumsily,2,5
antiamerican,1,0
auto,3,3
facedpaced,1,0
cardesign,1,0
minivan,1,0
suv,1,0
systemjames,1,0
ontrack,1,0
competitiveness,1,0
revved,2,1
semipredictable,1,0
rumbling,1,0
racetrack,5,0
hur,1,0
petrolheads,1,0
motoring,0,1
negotiate,1,0
nonpetrolheads,1,0
standardissue,3,2
highperformance,1,1
horsepower,3,1
racingwhere,1,0
fastestand,1,0
supercharge,1,0
imbecilic,2,0
adrenalineintensifying,0,1
somerset,1,0
nonfiction,4,1
yearyet,1,0
carmaker,1,0
straightaway,1,0
lawn,1,0
letts,4,0
craftedto,1,0
flinching,1,0
detroit,3,2
heroesversusthesystem,1,0
volatility,1,0
eye…,1,0
havin,1,0
pissing,1,0
contest,2,2
speedand,1,1
nonracing,1,0
v8,1,0
torque,1,0
fvf,1,0
seatbelt,1,0
toostraightforward,0,1
usafirst,0,1
mph,2,0
competitionwithout,1,0
faceoff,1,0
vroomvroom,1,0
counterfactual,2,0
beebe,1,0
leastexpected,1,0
motorsports,1,1
pragmatist,1,0
bumped,2,1
nittygritty,1,0
whatnot,1,0
bigblueyonder,1,0
multitextured,1,0
overearnest,1,0
manly,6,1
endup,1,0
unlikeliness,1,0
journeythe,1,0
drenchingly,1,0
speechballoonish,1,0
filmsand,1,0
linebut,1,0
endemic,1,0
tunneled,1,0
engineroaring,1,0
marque,1,0
gt,1,0
jerkiness,0,1
motorracing,3,0
pigeonholed,2,0
petrol,1,1
driverseye,1,0
rearview,1,0
innovator,1,1
gasguzzling,1,0
herbie,1,0
sportscar,1,0
racer,1,0
hawkish,1,0
metalmangled,1,0
correlate,1,0
oilstained,1,0
westernwith,1,0
mid1960s,1,0
scotchswilling,1,0
heartpulsing,1,0
motorgiantasscrappyunderdog,1,0
supercharges,1,0
ferrariproves,1,0
peoplepleaser,2,0
hopegiver,1,0
lowsa,1,0
prideabout,1,0
everbut,1,0
favoritesif,1,0
definitiverace,1,0
bigwig,1,0
topform,1,0
sharpwit,1,0
tinear,1,1
gutsiness,2,0
tailbone,1,0
carhistory,1,0
ephemera,2,0
throttling,1,0
meetup,1,0
halfsmart,1,0
roughandready,1,1
overhauled,1,0
serviceable,2,2
stardriven,1,0
drysounding,1,0
cromulent,0,1
metaanalysis,1,0
tracey,1,0
caitriona,1,0
tiringly,0,1
precisionengineered,2,0
simulating,1,0
recordbreaking,1,0
cleansweat,1,0
raceand,1,0
60sset,2,0
rusher,1,0
daylewiss,3,0
toughedged,1,0
inconspicuous,1,0
palsy,3,0
brenda,0,2
fricker,0,1
christy,6,1
paraplegic,1,0
writerartist,1,0
miraculousness,1,0
writerpainter,1,0
pricelessness,1,0
connaughton,1,0
sanctify,1,0
lightanddark,1,0
handicapped,2,0
grandstand,1,0
expositional,2,1
donoghue,8,0
onthemoney,1,0
noncommittal,0,1
abduction,0,2
melodramathriller,0,1
larson,48,9
rapist,1,0
tremblay,35,1
lenny,15,0
abrahamsons,6,0
abrahamson,20,2
donoghues,6,0
adaptationelevates,1,0
heartbeatfilling,1,0
donaghues,2,0
increasinglydesperate,1,0
10″x,1,0
10″,1,0
woodshed,1,0
conceitedness,0,1
suffocatingly,1,0
domesticates,0,1
repugnant,0,2
tremblays,6,0
humanhood,1,0
forecloses,0,1
unrewarding,1,0
audienceaccessible,1,0
webbedup,1,0
uninformed,1,0
concretion,0,1
mostlycompelling,1,0
leaded,1,0
sententious,0,1
hurtfully,1,0
unconfortable,1,0
experince,1,0
leadsfull,1,0
screenwritter,1,0
donoghe,1,0
becuase,0,1
noun,2,0
transmutation,1,0
crumbles,1,2
victimizing,1,0
temptaions,1,0
durability,1,0
dabbles,1,1
interdependence,1,0
larsondelivery,1,0
shortlist,3,0
childwoman,1,0
exploitationer,1,0
abhorrent,2,1
transmutes,1,0
blinkshes,1,0
rippedfromthe,1,0
abrahamsson,1,0
wonderstruck,2,0
pondered,1,0
feltand,1,0
highlyacclaimed,1,0
reception,3,1
amenity,1,0
recliner,1,0
lounge,1,0
craftspeople,1,0
motherson,1,0
sweatsoaked,1,0
backyard,2,2
intolerable,1,0
2013s,2,0
ownthe,1,0
lifeembracing,1,0
motherchild,1,0
firstpersonperspective,1,0
irishcanadian,1,0
incisiveness,1,0
couched,2,0
blinkandmiss,1,0
mimicking,2,0
larsonforactress,1,0
tremblayforsupporting,1,0
cheapen,1,0
awardseason,2,0
container,1,0
aheadespecially,1,0
dungeon,1,3
soulsearing,1,0
tremblingly,1,0
fup,0,1
glassy,1,0
motherandchild,1,0
mustwitness,1,0
stillpowerful,1,0
temblay,1,0
quvenzhané,1,0
aragorn,1,1
legolas,2,0
gimli,1,0
pippin,1,0
extendedversion,1,0
neverbeforeseen,1,0
entailing,1,0
420,1,0
atavistic,1,1
christiansvsmoors,0,1
harmlessly,0,1
viggo,0,1
mortensens,0,1
boromir,0,1
astins,2,0
adoringly,1,1
beseechingly,1,0
buzzkill,2,0
blissed,1,0
barefooted,1,0
tweeness,1,0
flabber,1,0
ungasted,1,0
unsmacked,1,0
crudely,0,4
incurable,0,1
shorten,0,1
deadening,1,1
aucun,1,0
texte,1,0
pourra,1,0
transmettre,1,0
efficacement,1,0
qualité,2,0
cette,1,0
uvre,1,0
overseeing,1,0
overstay,2,0
ganado,1,0
lugar,1,0
puntos,1,0
gracias,1,0
señor,1,0
habernos,1,0
devuelto,1,0
soñar,1,0
halt,0,2
overlength,1,0
lotr3,1,0
ado,0,3
hollywoodstyle,1,1
trilogía,1,0
mantiene,1,0
anteriores,2,0
faltando,1,0
sobrando,1,0
bigeverything,1,0
nonwhiteness,0,1
constatar,1,0
agora,1,0
direito,1,0
viagens,1,0
anuais,1,0
terramédia,1,0
compellinginherently,1,0
overwhelmingpacks,1,0
installmentpurely,1,0
storyskillful,1,0
satsfying,1,0
bladder,1,1
unrewarded,1,0
nodoze,0,1
overqualified,1,0
alreadyclassic,1,0
ringbearer,1,0
10hour,1,0
plagiarist,1,0
asymmetry,1,0
whistlestop,1,0
benhur,1,0
restroom,2,0
unaltered,1,0
unprecendented,1,0
shear,1,0
catapulting,1,0
bestpaced,2,0
wachowski,1,0
blitzbombed,0,1
unscaled,1,0
halberd,1,0
declamatory,1,0
krakatoa,1,0
seigneur,1,0
anneaux,1,0
retour,1,0
roi,1,0
représente,1,0
joyau,1,0
couronne,1,0
195,1,0
hopei,1,0
trilogythe,1,0
judgeda,1,0
immobilised,1,0
mckellan,1,0
astin,1,0
theoden,1,0
manbag,1,0
scuttle,2,0
goosepimply,1,0
smackdowns,1,0
210,1,0
stateroom,3,0
harpo,7,0
chico,6,0
milan,1,1
cabin,2,9
disruption,2,0
morris,0,2
rysklnd,0,1
laughprovoking,2,0
pall,2,0
entice,2,0
donna,2,0
madhouse,1,0
imitable,1,1
marxian,3,0
sandwiched,1,0
nonclassical,1,0
carlisle,2,0
kaufmanryskind,1,0
morrie,1,0
ryskind,1,0
mcguinness,1,0
supplemented,2,0
flirtation,3,0
respectability,2,0
empalideça,1,0
diante,1,0
irmãos,1,0
algumas,2,0
cenas,1,0
memoráveis,1,0
trupe,1,0
jogos,1,0
palavras,1,0
shamble,1,2
il,2,0
trovatore,1,0
redwood,0,1
unrelieved,0,2
barbecue,1,0
mgmness,1,0
antiauthoritarian,1,0
marxist,3,0
dumont,1,0
yocker,1,0
tighter,8,0
thalbergs,1,0
counterforce,1,0
beautifullymade,2,0
fangoria,1,0
myers,7,3
cipher,3,0
scorecumleitmotif,1,0
psychopathy,2,0
raison,3,0
dêtre,1,0
bmovies,1,2
strodes,1,0
hosanna,1,1
300000,1,0
altered,1,2
maniacontheloose,0,1
suspenser,0,1
hog,1,1
pleasance,1,0
sensationallyscary,1,0
unexciting,1,1
staunchly,2,1
filmnot,1,0
jawshas,1,0
escapedmaniacsontheloose,1,0
slasherhorror,2,0
bellyjiggling,1,0
spineshivering,1,0
untouched,3,0
october,1,0
31st,1,0
specialized,3,0
moneyball,4,1
convery,9,1
basketball,16,12
dunk,22,2
mjs,1,0
metric,3,1
sportsmarketing,1,0
overrun,4,1
converys,1,0
broadly,2,4
quickpaced,1,1
frumpy,1,0
workhard,1,0
sneakerdriven,1,0
sportsapparel,1,0
menesque,2,0
baseball,1,1
outofshape,0,1
narcissist,0,1
scout,1,0
shilling…,1,0
sportsbusiness,1,0
waaayyyy,1,0
scotthelmed,1,0
lordly,1,0
aristocrat,3,0
impetuous,1,0
underling,1,0
equitable,1,0
superblymade,1,0
historymaking,2,0
finish—in,1,0
vaccaro,3,0
deloris,5,0
viola,7,1
commend,2,1
truckloads,1,0
scenerychewing,1,1
messina,4,0
affleckmatt,1,0
damonmichael,1,0
tomahawk,1,0
inaugurate,1,0
podiatry,1,0
foucauldian,1,0
archaeology,1,0
idolatry,1,0
capitalized,1,0
willed,2,0
jordan–endorsed,0,1
espn,0,1
shoeobsessed,1,0
betterthanfine,1,0
meetingair,1,0
cupidity,0,1
deviousness,0,1
sorta,1,1
reteamed,1,1
artlessly,0,1
buttering,0,1
adidas,0,1
athletics,1,0
archival,3,0
err,2,1
interactionsexchanges,1,0
raveling,1,0
gist,2,0
uncontested,0,1
layup,2,1
goliathesque,1,0
tact,2,0
peddling,2,2
misquote,2,0
subtextually,0,1
victoriously,2,0
justdrafted,1,0
undisputable,2,0
sportsthemed,1,0
basedonatruestory,1,0
gutty,1,0
muzzle,1,0
errorfree,1,0
questionably,0,1
predestined,1,0
wheeling,1,1
ekes,1,0
nonconventional,1,0
wingding,1,0
pivotally,1,0
smooch,1,0
nearlymjfree,1,0
mjcentric,1,0
reenacted,1,0
gamewinner,1,0
athletebrand,1,0
bookshop,1,0
selfhelp,1,1
betterthani,1,0
wasexpecting,1,0
helluva,3,1
paradigmshifting,1,0
valorization,1,0
disciple,0,1
nearfetishistic,0,1
indicator,0,4
goosing,0,1
sartorial,1,0
undystopian,1,0
tucker,1,1
beater,1,0
softaroundtheedges,1,0
exchanged,1,0
hokier,1,0
alleyoop,1,0
excludes,0,1
dadrock,1,0
sorkinesque,1,0
about—the,1,0
uninterested,1,0
mattandben,1,0
readable,1,0
rimshot,0,1
nba,1,4
threepoint,1,0
showmethemoney,1,0
kneel,0,1
unaccountably,2,0
buzzerbeating,1,1
fadeaway,1,0
jumper,1,0
shoe—and,1,0
story—that,1,0
accented,1,0
swoosh,1,0
threepointers,1,0
threestar,1,0
inoffensive,2,2
superstardom,2,0
welloff,0,1
salesperson,0,1
wealthier,0,1
promo,0,2
oxygenates,1,0
boardroom,1,1
wayans,1,11
filmin,1,0
coil,1,0
that—like,1,0
argo—has,1,0
posttheatrical,1,0
uncritical,1,0
authorized,1,0
warmlyremembered,1,0
buzzerbeater,1,0
disruptor,1,0
congrats,1,0
gamewinning,2,0
piggybacking,1,1
brokering,1,0
pivoted,1,0
dealmakers,1,0
fateful,2,0
gambled,1,0
awardquality,2,0
wagging,1,0
splayed,1,0
midjump,1,0
airness,1,0
conference,2,0
entrepreneurial,1,1
unguarded,1,0
ticktock,1,0
equity,1,0
scurrilous,0,1
jog,0,1
fourquadrant,1,0
sidelined,2,0
dealmaker,1,1
moneyballlike,1,0
maguirestyle,1,0
jumpman,1,0
iconize,1,0
creatives,3,0
spokespeople,1,0
cast—namely,1,0
egot,1,0
lexicon,2,0
iciness,1,0
egoyan,6,1
indistinct,0,2
egoyans,6,0
stevens,6,0
englishcanadian,1,0
tragedywracked,1,0
exquisita,1,0
banks,1,0
exotica,1,0
adjuster,1,0
mychael,1,0
dannas,1,0
sarossys,1,0
burg,1,0
incest,1,0
haiku,1,0
acessible,1,0
intellectualism,1,0
deliberacy,1,0
tactfully,1,0
boggling,1,0
rube,2,0
goldbergian,1,0
ultramodern,2,0
tati,17,1
browfurrowing,1,1
outage,1,1
americanised,1,0
drugstore,1,0
parkingwith,1,0
sickly,3,1
macaroon,1,0
eiffel,1,0
overweening,1,0
playtimeisa,1,0
panoramic,5,0
oneday,1,0
gollygee,1,0
primandproper,1,0
mutating,1,0
knuckletrailing,1,0
adamant,1,0
alltoolazy,1,0
unexamined,1,0
uncoenlike,2,0
pg13,3,10
fannish,1,0
hailee,8,0
steinfeld,21,0
nearpitch,1,0
bloodsome,1,0
hathaway,7,0
portiss,4,1
pedigree,0,2
differentbut,1,0
growl,3,0
trailgrizzled,1,0
postnap,1,0
usurped,1,0
rooster,12,0
cogburn,13,0
portis,16,1
nongritty,1,0
glen,1,0
lebowski,2,0
softening,2,0
pointblank,3,0
ruben,1,0
refers,2,2
mattie,7,0
mcconaughey,1,0
readaptacin,1,0
hecha,1,0
fidelidad,1,0
acero,1,0
varios,1,0
buenos,1,0
siguen,1,0
demostrando,1,0
brillantes,1,0
actualidad,1,0
discounted,1,0
correctness,2,1
oneeyed,1,0
straightshooting,1,0
fordinspired,1,0
epitomise,1,0
eulogise,1,0
obrigado,1,0
superioridade,1,0
desta,1,0
lassoed,1,0
searcher,2,0
photogravure,0,1
brimstone,1,0
saloon,1,0
barbut,1,0
revalorisation,1,0
christina,1,1
hendricks,1,0
piranha,1,2
grittiest,2,0
attainment,1,0
callibre,1,0
categorized,1,0
retribution,2,0
marguerite,1,0
minormasterpiece,1,0
heilee,1,0
possum,1,0
mouthful,1,1
matties,2,0
burwell,3,0
vocalization,1,0
outhouse,1,2
overconsumption,1,0
whisky,1,1
gallantly,1,0
franker,2,0
religiosity,1,0
storymovie,1,0
shooter,1,0
bushwhacker,0,1
shouldve,3,3
outgun,1,0
legendthe,1,0
outduke,1,0
atbat,1,0
humorhey,1,0
brothersand,1,0
locution,1,0
soi,0,1
palin,0,1
triplebarreled,1,0
gritier,1,0
westernthemed,1,1
apparel,1,0
burwells,1,0
bridgessteinfelds,1,0
disdaining,1,0
contraction,1,0
runyon,1,0
unaskedfor,0,1
sagebrush,1,1
snappier,1,1
laboeuf,1,0
operatically,1,0
remaking,2,0
inconceivable,1,1
marblemouthed,1,0
excavation,1,0
leaking,1,0
gravel,1,0
spout,2,1
wagon,1,5
presume,1,0
deadwood,1,0
stinky,1,0
ultrafaithful,1,0
vengeful,1,1
ladykillers,2,0
religiouspolitical,1,0
cogburns,1,0
wiseguy,1,0
ingalls,1,0
livened,1,0
blackie,1,0
concernedone,1,0
bumptious,1,0
bridges,1,0
wrastle,1,0
panicridden,1,0
steinfelds,1,0
overtaking,1,0
shave,2,0
smartaleck,1,1
westernone,1,0
undernourished,1,0
alcoholsoaked,1,0
cakedon,1,0
perspiration,1,0
mustiness,1,0
quill,2,0
nearholy,1,0
fixated,1,0
randomness,2,0
adopt,2,0
grossed,1,0
seenitall,1,0
rotted,1,0
halie,1,0
fringed,1,0
suede,1,0
thirsting,1,0
backtothebook,1,0
nonverbal,1,0
krasinski,61,2
creaturefeature,1,0
compellingas,1,0
uncluttered,2,0
sleepinducing,0,3
beallandendall,0,1
prying,1,0
streaming,2,1
freakedout,1,0
krasinskis,25,1
89,1,2
catastrophic,3,1
upstate,1,1
hellbeasts,1,0
overexplanation,1,0
dialoguefree,2,0
refreshment,1,0
abandona,1,0
sombra,1,0
entrañable,1,0
convertirse,1,0
promesa,1,0
overanalyze,1,0
sweatypalmed,2,0
suspensers,1,0
angstinducing,1,0
hiring,2,0
barring,1,0
ninetyminutes,1,0
gaspworthy,1,0
intensei,1,0
tensionthe,1,0
humanitythrough,1,0
leveli,1,0
krasinksi,3,0
administer,1,0
prohibition,1,0
ableist,1,0
empathizing,1,0
poppy,1,0
dreadinfused,1,0
cloverfield,1,3
millicent,2,0
complies,1,0
suspensehorror,1,0
reactionary,1,2
banding,1,0
flickered,1,0
sensememories,1,0
jostled,1,0
hypothesis,1,1
chore,1,4
weaponize,1,0
thrillerdirector,1,0
pilars,1,0
controllable,1,0
halpert,1,0
filmjust,1,0
nervewrackingly,1,0
krasinksis,1,0
stomp,1,0
literalised,1,0
tenseany,1,0
knockedover,1,0
almostinstant,1,0
genreredefining,1,0
nondiegetic,1,0
counterexample,1,0
beck,4,0
strippedback,1,0
heavylifting,1,0
shredding,1,0
escort,1,3
abbotts,2,0
ultrasound,1,0
outan,1,0
poppinga,1,0
innovatively,1,0
regan,3,0
secretive,1,0
elimination,1,0
throwdown,1,0
berserker,1,0
shyamalantype,0,1
nightmaremaker,1,0
frightflick,1,0
thisall,1,0
unceasing,1,0
reptilian,1,1
pincer,1,0
librarian,1,0
placeis,1,0
horrormovie,1,0
liedown,1,0
exhales,1,0
punctuates,1,0
ideathe,1,0
loudquietloud,1,0
jumpscares,2,0
rustling,2,0
cornfield,1,0
ruralhippie,1,0
signlanguage,1,0
gigerbut,1,0
soundness,1,0
coscriptwriter,1,1
jalapeño,1,0
monsterinthehouse,1,0
shuddersome,1,0
boobytrapped,1,0
eggshell,1,0
shhh,1,0
directorstar,1,0
nudgenudge,1,0
nearsilent,3,0
humdinger,2,0
barraged,1,0
thx,1,0
restructured,1,0
filmis,1,0
blair,1,0
demolished,1,0
speedily,1,1
surname,1,0
krasinskiblunts,1,0
unexploded,1,0
plentythat,1,0
pee,2,0
jupe,1,0
rebelliousness,1,0
generala,1,0
finetune,1,0
dreadinducing,1,0
moan,2,0
poltergeist,1,4
miniaturist,1,0
hind,1,0
quartersclenching,1,0
heartthumping,1,0
fatherly,1,1
reconsiders,1,0
unpredictably,2,0
popcorncrunching,1,0
cellphonechatting,1,0
ghastliness,1,0
subtitled,3,0
milquetoast,1,0
toothy,1,0
thoughtout,1,0
residue,2,1
prohuman,1,0
prointellectual,1,0
terrorizing,1,0
welldriven,1,0
ridethe,1,0
ladyhis,1,0
cleverwhatever,1,0
concision,1,0
rees,47,2
mudbound,71,4
itdecentralizes,1,0
sickmaking,1,0
dee,28,0
saltoftheearth,1,0
faulkernian,1,0
hedlund,3,0
agrarian,1,0
perpetrated,1,2
stored,2,0
unpunished,1,0
wwiiera,1,0
farmland,1,0
stomped,1,0
sharecropping,1,0
rancid,1,2
blige,7,0
overburdened,1,2
latency,1,0
reess,6,0
cuppa,0,1
jenkins,1,0
miniseries,2,1
hap,1,0
underambitious,1,0
socialjustice,0,1
blinkered,1,0
filmit,1,0
reckons,1,0
mudbounds,2,0
mulligan,3,0
adaptability,1,0
diagram,2,0
canand,1,0
shouldstand,1,0
fleetingly,2,2
trample,1,0
hillary,3,1
coadapted,1,0
traversing,2,1
gunky,1,0
goddam,1,0
credibly,1,0
iiera,2,0
inelegant,1,0
hiphop,1,3
underplaying,1,0
loosen,1,0
experienceone,1,0
bessie,1,0
melodramafor,1,0
1940swith,1,0
veteransgorgeous,1,0
reese,1,0
thunderstruck,1,0
alltoorelevant,1,0
mudboundis,1,0
multicharacter,2,0
periodspecific,1,0
delta,1,0
newish,1,0
subjugation,1,0
diagnose,1,0
selfperpetuating,1,0
packaging,2,1
masochistic,2,2
welledited,1,0
wellscored,1,0
stepwise,0,1
oversimplified,1,1
smallbudget,1,0
overheating,1,0
pertain,1,0
garrett,1,0
postwarset,1,0
scrutinizes,1,0
wispier,1,0
faulknerlike,1,0
extremism,1,0
circumscribe,1,0
slipups,1,0
detre,2,0
andthis,1,0
isa,2,0
wellworthy,1,0
overambitious,1,1
cuba,1,10
gooding,1,10
nwas,1,0
singleton,18,2
hightops,1,0
gunfire,1,3
thudding,1,1
eviscerates,1,0
pedantic,2,1
gangplagued,1,0
grimfaced,1,0
inexperience,1,0
characterrich,1,0
indiscriminately,0,2
citizenship,1,0
encyclopedia,1,2
purgation,1,0
prosocial,1,0
youthincited,1,0
inattention,1,0
innercity,1,4
antidrug,2,1
antiviolent,0,1
unheeded,1,0
nightmarishness,1,0
actionscifi,1,0
proliferation,1,1
retrofuturist,1,0
strangelovian,1,0
nearfuture,1,0
careertopping,2,0
postorwellian,1,0
notoriously,1,0
anticommercial,1,0
directorcoscreenwriter,1,0
kakfa,1,0
madding,1,0
shined,1,0
taraji,11,1
henson,18,0
octavia,13,0
janelle,12,0
monae,6,0
righting,2,0
herstory,1,0
relinquishes,1,0
periodpiece,1,1
glossing,1,0
nasa,20,1
homie,1,0
monáe,12,0
focusgrouped,0,1
pablum,0,1
vaughan,4,0
kristen,2,1
melfi,13,1
blackboard,1,0
africanamericans,2,1
melfis,4,0
pharrell,2,0
pluralistic,1,0
shelved,1,1
effervesces,1,0
monaé,1,0
harmoniously,2,0
enjoyableyou,1,0
researcher,1,0
2hour,1,0
limelight,1,0
workday,1,0
19611962,1,0
unradical,1,0
prosaically,1,0
outsiderversusthesystem,1,0
piquancy,1,0
personage,1,0
noproblemsir,1,0
demeanour,1,0
blunting,1,0
shetterlys,1,0
optioned,1,0
oscarbaiting,2,0
castigating,1,0
massaged,1,0
panelbeaten,1,0
obstructive,1,0
prejudicially,1,0
racialist,1,0
segregated,3,0
meetingroom,1,0
segregation,2,0
parabola,1,0
girlpower,1,0
againsttheclock,1,0
launchpad,1,0
angerinducing,1,0
conventionbusting,1,0
liner,2,1
segregationist,0,1
victimize,1,0
conjuncture,0,1
closeness,2,0
conducive,1,0
shetterly,1,0
stemminded,1,0
legendastronaut,1,0
perseveres,1,0
wallbreaking,1,0
redress,1,0
oscarssowhite,2,0
sexist,4,2
transcended,5,0
storybased,1,0
byturns,1,0
resistibly,1,0
unoriginal,1,10
brandish,2,0
longignored,1,0
overeager,1,0
triumphoftheweek,1,0
showiest,1,0
illused,1,0
halfwritten,1,1
slatterly,1,0
sitcomish,0,1
teachable,1,0
sciencefaction,1,0
morallyupright,1,0
itsaboutdamntime,1,0
rejoinder,1,0
inefficiency,1,1
depriving,1,0
barndoor,1,0
google,0,1
demeaning,1,1
demoralizing,2,0
worthiness,2,0
nineteensixties,1,0
backlash,2,0
cheerlead,1,0
brockovichtype,1,0
mathwizard,1,0
frictionless,1,1
doublestandards,1,0
calculate,1,0
costner,1,0
pregnant,11,1
renoir,36,3
parquet,1,0
lasersharp,1,0
behindit,1,0
aristocracy,3,0
goebbels,2,0
ratfaced,1,0
banned,2,0
touting,1,0
imprisonment,1,0
rgle,1,0
jeu,3,0
diptych,1,0
bloodiest,3,0
imperishable,2,0
interconnectedness,1,0
risqu,2,0
exalting,1,0
looping,2,0
oscarorson,1,0
sears,1,0
fresnay,1,0
stonheim,1,0
prisoncamp,1,0
reconstruct,1,0
illision,1,0
intrude,1,0
movieacting,1,0
…as,1,0
release…,1,0
perpetrator,1,0
19721974,1,0
interregnum,1,0
breakin,2,0
nixon,3,0
parallax,2,0
condor,1,0
equipment,2,1
sharer,1,0
eavesdrops,1,0
infatuation,0,1
hackmans,4,0
caul,1,0
murchs,2,0
fearthat,1,0
introversion,1,0
antonioni,1,0
antonionis,2,0
supervising,1,0
rerecording,1,0
subside,1,0
tm,1,0
trajetrias,1,0
profissionais,1,0
brilhantes,2,0
assim,1,1
elogio,1,0
qualquer,2,0
dizer,1,0
ambo,1,0
outstripped,1,0
technothriller,0,1
showier,1,0
murch,1,0
slowlygripping,1,0
minnesota,3,0
blackcomedy,1,0
enterprising,1,0
mcdormand,9,0
macy,3,0
icily,2,0
marge,3,0
yanagita,1,0
pseudo,1,0
dismemberment,1,0
writerproducer,2,1
gunderson,3,0
brickbybrick,1,0
betcha,1,0
snowblind,1,0
contorted,2,0
cloddish,0,3
geeky,1,1
presnell,1,0
buscemi,1,0
stormare,1,0
horrid,1,2
ultradeadpan,1,0
knowable,1,0
producercowriter,1,0
minnesotan,2,1
uniqueentertainment,1,0
whiteonwhite,1,0
incomprehension,1,0
finland,1,0
aki,1,0
kaurismaki,1,0
brilliantnear,1,0
lured,1,1
pecuniary,1,0
grandes,1,0
trunfos,1,0
problema,1,0
estes,2,0
duelos,1,0
verbais,1,0
travados,1,0
perdem,1,0
traduo,1,0
portugus,1,0
chipper,2,0
whiteout,1,0
flushed,2,2
aptitude,0,1
arizona,3,0
miniclassics,1,0
darkhumored,1,0
superiority,0,1
snottiness,0,1
nosuperstar,1,0
mainstay,1,0
reiterated,0,1
icebound,1,0
scandinavianbred,1,0
lowaffect,1,0
knitted,1,0
madame,1,0
dufarge,1,0
fiend,3,0
boileau,1,0
narcejac,1,0
devising,1,0
tighten,2,0
deepfreeze,1,0
conscienceless,1,0
whoopdoodle,1,0
canary,1,0
digestive,1,1
véra,1,0
signoret,3,0
meurisse,1,0
deliberateness,1,0
unpleasantness,2,1
calculatedly,1,0
théâtre,1,0
typewriter,2,0
emulated,2,0
overcast,1,0
partnoir,1,0
partneogothic,1,0
sickeningly,0,2
reasoning,2,0
horrorthrillers,1,0
creakydoor,0,1
sharon,1,0
windy,1,1
dandiest,1,0
frenchlanguage,1,0
curvy,1,0
doublereverse,1,0
mordancy,1,0
film—whose,1,0
sexes—seemed,1,0
arrow,5,1
perspicacious,1,0
puritanical,1,0
internally,2,0
ethically,1,0
bankrupt,1,3
comb,1,0
possessor,1,1
witheringly,1,0
lemmon,35,2
behavers,1,0
maclaine,10,0
deteriorating,1,0
winterized,1,0
rhinoceros,1,0
yelping,1,0
gulping,1,0
lacava,1,0
incompatible,1,0
prewar,3,0
boff,2,0
classification,2,0
messageloaded,1,0
synchronization,1,0
aligning,1,0
observantly,1,0
deutsch,1,0
savoury,2,0
ial,3,0
sculpt,1,0
mercurial,2,0
manhattanbased,1,0
assessing,1,0
fewest,1,0
flipside,2,0
reticence,1,0
mensroom,1,0
watercooler,1,0
whingeing,1,0
turpitude,1,1
onehook,1,0
themed,1,1
racket,1,0
conjugal,1,0
tragicomedydrama,1,0
compliant,1,0
heartrendingly,1,0
opie,1,0
dvdbluray,1,0
andas,1,0
missionsselflessness,1,0
isaok,1,0
popentertainment,1,0
youarethere,2,0
spaceflight,3,0
inflating,1,0
cantdo,1,0
lovell,2,0
raggedness,1,0
stuffcourage,1,0
houston,1,0
nutsandbolts,0,1
computerized,1,1
restating,1,0
pencilchewing,1,0
supersize,1,1
movietime,1,0
splashdown,1,0
warhead,1,0
braving,1,0
threshold,1,2
twinkly,1,1
masturbatory,2,0
goandgetit,1,0
befell,1,0
vitalism,1,0
vie,1,0
nausicaa,1,0
casper,1,0
chattering,1,0
handpainted,1,0
mononokes,2,0
luminists,1,0
shinto,1,0
animism,2,0
writerdirectormaster,1,0
highestgrossing,1,0
luxuriously,1,0
hungrily,1,0
translucent,1,0
swivelheads,1,0
dominion,1,0
animist,1,0
conservationist,1,1
limbsevering,1,0
directorlead,1,0
telepathically,1,0
contradicting,1,0
9yearold,1,0
oversentimentalises,1,0
demonises,1,0
hisaishis,1,0
submiklos,1,0
rosza,1,0
infringing,1,0
youâtmre,1,0
conservation,0,1
mountainsmashing,1,0
waterdrops,1,0
kipling,1,0
ovid,1,0
subjectmatter,1,0
tribesman,1,0
miyzaki,1,0
homiletic,1,0
followyourdream,1,0
solipsistic,1,0
moonlike,1,0
decapitation,1,0
maimings,1,1
tamely,0,1
chatterbox,1,0
unforeseen,1,1
cels,1,0
spaciousness,1,0
exotically,1,0
radiation,1,0
redubbed,1,0
umberto,14,0
almostperfect,1,0
leisured,1,0
unemphatic,1,0
carlo,1,0
battisti,2,0
pia,2,0
casilio,2,0
probingly,1,0
wendy,1,0
lucy,1,8
sidebyside,1,0
exemplares,2,0
pinta,1,0
misria,1,0
psguerra,1,0
dores,1,0
depressive,1,0
studyits,1,0
quipster,1,0
bucked,1,0
afrofuturist,4,0
whambamthankyoustan,1,0
idealogical,1,0
wakanda,20,0
supplementing,1,0
grappled,1,0
isolationism,2,0
bosemans,2,0
